username,Category,Country
watermelon_make,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
maquillaje_el_roperito,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
mabstore____,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
denise.a.mp,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
contextobelleza,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
blessings.cosmetics,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
berryco.shop,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
rougecerise.ar,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
dcmakeupstudio,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
pinatashop.lp,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
thecandleshop.ar,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
che.rry.oficial,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
tehratech,"(""accesorios * smartphones"" OR ""tecnología"" OR ""dispositivos"")","(""España"" OR ""Espana"" OR ""Madrid"")"
akinetofc,"(""accesorios * smartphones"" OR ""tecnología"" OR ""dispositivos"")","(""España"" OR ""Espana"" OR ""Madrid"")"
mobileshop,"(""accesorios * smartphones"" OR ""tecnología"" OR ""dispositivos"")","(""España"" OR ""Espana"" OR ""Madrid"")"
oneshop_technology,"(""accesorios * smartphones"" OR ""tecnología"" OR ""dispositivos"")","(""España"" OR ""Espana"" OR ""Madrid"")"
mobileshop_ec,"(""accesorios * smartphones"" OR ""tecnología"" OR ""dispositivos"")","(""España"" OR ""Espana"" OR ""Madrid"")"
tecopuntoshop,"(""accesorios * smartphones"" OR ""tecnología"" OR ""dispositivos"")","(""España"" OR ""Espana"" OR ""Madrid"")"
sky,"(""accesorios * smartphones"" OR ""tecnología"" OR ""dispositivos"")","(""España"" OR ""Espana"" OR ""Madrid"")"
tedashopmx,"(""accesorios * smartphones"" OR ""tecnología"" OR ""dispositivos"")","(""España"" OR ""Espana"" OR ""Madrid"")"
genuinos_shop,"(""accesorios * smartphones"" OR ""tecnología"" OR ""dispositivos"")","(""España"" OR ""Espana"" OR ""Madrid"")"
tupuntoshop,"(""accesorios * smartphones"" OR ""tecnología"" OR ""dispositivos"")","(""España"" OR ""Espana"" OR ""Madrid"")"
tecnologiashoppremium,"(""accesorios * smartphones"" OR ""tecnología"" OR ""dispositivos"")","(""España"" OR ""Espana"" OR ""Madrid"")"
shopx.mx,"(""accesorios * smartphones"" OR ""tecnología"" OR ""dispositivos"")","(""España"" OR ""Espana"" OR ""Madrid"")"
tiendaohpic,"(""accesorios * smartphones"" OR ""tecnología"" OR ""dispositivos"")","(""España"" OR ""Espana"" OR ""Madrid"")"
libertec.shop,"(""accesorios * smartphones"" OR ""tecnología"" OR ""dispositivos"")","(""España"" OR ""Espana"" OR ""Madrid"")"
tiendaheratech,"(""accesorios * smartphones"" OR ""tecnología"" OR ""dispositivos"")","(""España"" OR ""Espana"" OR ""Madrid"")"
vspshopzapotlanejo,"(""accesorios * smartphones"" OR ""tecnología"" OR ""dispositivos"")","(""España"" OR ""Espana"" OR ""Madrid"")"
teknopolisoficial,"(""accesorios * smartphones"" OR ""tecnología"" OR ""dispositivos"")","(""España"" OR ""Espana"" OR ""Madrid"")"
virtual_shop_py,"(""accesorios * smartphones"" OR ""tecnología"" OR ""dispositivos"")","(""España"" OR ""Espana"" OR ""Madrid"")"
vexshopoficial,"(""accesorios * smartphones"" OR ""tecnología"" OR ""dispositivos"")","(""España"" OR ""Espana"" OR ""Madrid"")"
unoxesp,"(""accesorios * smartphones"" OR ""tecnología"" OR ""dispositivos"")","(""España"" OR ""Espana"" OR ""Madrid"")"
treinta,"(""accesorios * smartphones"" OR ""tecnología"" OR ""dispositivos"")","(""España"" OR ""Espana"" OR ""Madrid"")"
smartshopexperience,"(""accesorios * smartphones"" OR ""tecnología"" OR ""dispositivos"")","(""España"" OR ""Espana"" OR ""Madrid"")"
citrus_tienda,"(""accesorios * smartphones"" OR ""tecnología"" OR ""dispositivos"")","(""España"" OR ""Espana"" OR ""Madrid"")"
clickbox_ec,"(""accesorios * smartphones"" OR ""tecnología"" OR ""dispositivos"")","(""España"" OR ""Espana"" OR ""Madrid"")"
crea.software,"(""accesorios * smartphones"" OR ""tecnología"" OR ""dispositivos"")","(""España"" OR ""Espana"" OR ""Madrid"")"
iphonecell.shop,"(""accesorios * smartphones"" OR ""tecnología"" OR ""dispositivos"")","(""España"" OR ""Espana"" OR ""Madrid"")"
smartlife.shopgt,"(""accesorios * smartphones"" OR ""tecnología"" OR ""dispositivos"")","(""España"" OR ""Espana"" OR ""Madrid"")"
beautyshop.pty,"(""accesorios * smartphones"" OR ""tecnología"" OR ""dispositivos"")","(""España"" OR ""Espana"" OR ""Madrid"")"
surippa.shop,"(""accesorios * smartphones"" OR ""tecnología"" OR ""dispositivos"")","(""España"" OR ""Espana"" OR ""Madrid"")"
digitalshop_,"(""accesorios * smartphones"" OR ""tecnología"" OR ""dispositivos"")","(""España"" OR ""Espana"" OR ""Madrid"")"
huella_ecommerce,"(""accesorios * smartphones"" OR ""tecnología"" OR ""dispositivos"")","(""España"" OR ""Espana"" OR ""Madrid"")"
tecnoguemes,"(""accesorios * smartphones"" OR ""tecnología"" OR ""dispositivos"")","(""España"" OR ""Espana"" OR ""Madrid"")"
lamasonagency,"(""accesorios * smartphones"" OR ""tecnología"" OR ""dispositivos"")","(""España"" OR ""Espana"" OR ""Madrid"")"
movilshopvzla,"(""accesorios * smartphones"" OR ""tecnología"" OR ""dispositivos"")","(""España"" OR ""Espana"" OR ""Madrid"")"
easycommercetech,"(""accesorios * smartphones"" OR ""tecnología"" OR ""dispositivos"")","(""España"" OR ""Espana"" OR ""Madrid"")"
indibaaesthetics.es,"(""accesorios * smartphones"" OR ""tecnología"" OR ""dispositivos"")","(""España"" OR ""Espana"" OR ""Madrid"")"
caribbeansportshop,"(""accesorios * smartphones"" OR ""tecnología"" OR ""dispositivos"")","(""España"" OR ""Espana"" OR ""Madrid"")"
jvilera,"(""accesorios * smartphones"" OR ""tecnología"" OR ""dispositivos"")","(""España"" OR ""Espana"" OR ""Madrid"")"
adresles,"(""accesorios * smartphones"" OR ""tecnología"" OR ""dispositivos"")","(""España"" OR ""Espana"" OR ""Madrid"")"
dolors_guillen,"(""accesorios * smartphones"" OR ""tecnología"" OR ""dispositivos"")","(""España"" OR ""Espana"" OR ""Madrid"")"
infraslimx.es,"(""accesorios * smartphones"" OR ""tecnología"" OR ""dispositivos"")","(""España"" OR ""Espana"" OR ""Madrid"")"
accenture.spain,"(""accesorios * smartphones"" OR ""tecnología"" OR ""dispositivos"")","(""España"" OR ""Espana"" OR ""Madrid"")"
3dids,"(""accesorios * smartphones"" OR ""tecnología"" OR ""dispositivos"")","(""España"" OR ""Espana"" OR ""Madrid"")"
pintureriaespana,"(""accesorios * smartphones"" OR ""tecnología"" OR ""dispositivos"")","(""España"" OR ""Espana"" OR ""Madrid"")"
foto_ecommerce,"(""accesorios * smartphones"" OR ""tecnología"" OR ""dispositivos"")","(""España"" OR ""Espana"" OR ""Madrid"")"
kalo_ar,"""cuidado * piel""","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
mundo.natural.arg,"""cuidado * piel""","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
lurebyms,"""cuidado * piel""","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
productosgibeauty,"""cuidado * piel""","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
zafirus,"""cuidado * piel""","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
